id,score_date,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent
JMAN_2429072,2023-02-10,100,33,0.0,0.0,0.0,0.0,0,0,0,20.0,72,58
JMAN_9043466,2023-01-13,100,17,0.0,0.0,0.0,0.0,0,0,0,19.0,0,68
JMAN_2452556,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,15,1,0.0,0,0
JMAN_2455113,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,7,0,4.0,0,9
JMAN_18127937,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_2373631,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,10,0,8.0,0,0
JMAN_2447279,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,10,0,6.0,0,0
JMAN_9004478,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,6,0,10.0,0,39
JMAN_2477864,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,8,0,12.0,0,34
JMAN_2445629,2023-01-20,100,33,0.0,0.0,0.0,0.0,0,8,0,10.0,0,27
JMAN_9034877,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,6,0,12.0,0,16
JMAN_14450264,2023-03-17,100,25,0.0,0.0,0.0,0.0,0,0,0,0.0,6,6
JMAN_18839586,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_12250851,2023-03-03,0,0,100.0,100.0,10.0,10.0,0,0,0,0.0,0,196
JMAN_9601250,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,6,1,1.0,0,0
JMAN_9016831,2023-01-27,0,0,0.0,0.0,0.0,0.0,0,6,0,10.0,0,1
JMAN_18411228,2023-01-06,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_10361494,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,10,0,1.0,0,0
JMAN_18409952,2023-01-13,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0
JMAN_2468132,2023-02-17,0,0,0.0,0.0,0.0,8.0,0,11,0,5.0,0,1
JMAN_9005782,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,8,0,3.0,0,0
JMAN_9023427,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,18,1,1.0,0,0
JMAN_9002816,2023-01-27,0,0,0.0,0.0,0.0,0.0,0,8,0,10.0,0,31
JMAN_18391384,2023-03-10,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_9773302,2023-01-06,0,0,0.0,0.0,0.0,0.0,0,5,0,3.0,0,1
JMAN_13717602,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,11,0,0.0,0,13
JMAN_2468379,2023-02-24,100,25,0.0,0.0,0.0,0.0,0,12,0,11.0,0,61
JMAN_2475116,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,11,0,12.0,0,0
JMAN_11710046,2023-01-20,100,38,0.0,100.0,0.0,10.0,0,0,0,0.0,5,36
JMAN_11265556,2023-03-24,0,0,0.0,100.0,0.0,10.0,0,8,0,12.0,0,23
JMAN_9034116,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,12,0,11.0,0,227
JMAN_9744797,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,4,0,3.0,0,1
JMAN_2472023,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,2,0,1.0,0,5
JMAN_2459144,2023-02-24,0,0,0.0,0.0,0.0,0.0,1,0,0,20.0,0,44
JMAN_9810546,2023-01-20,50,13,0.0,0.0,8.0,8.0,0,9,0,6.0,0,58
JMAN_2461321,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,8,0,12.0,0,545
JMAN_10303029,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,6,0,4.0,0,278
JMAN_2457086,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,11,0,6.0,0,5
JMAN_2478859,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,9,0,10.0,0,71
JMAN_10078002,2023-03-10,80,45,0.0,0.0,0.0,0.0,0,9,0,8.0,0,46
JMAN_9839217,2023-03-10,100,100,0.0,0.0,0.0,0.0,0,0,0,21.0,0,3
JMAN_9387901,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,6,1,1.0,0,0
JMAN_2460501,2023-03-10,0,33,0.0,0.0,0.0,0.0,0,0,0,21.0,1,262
JMAN_11272416,2023-01-27,0,0,0.0,100.0,0.0,10.0,0,8,0,3.0,21,8
JMAN_9022859,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,10,0,6.0,0,65
JMAN_2439655,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,7,0,12.0,0,0
JMAN_10190396,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,15,1,0.0,0,55
JMAN_9552552,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,0,0,13.0,0,0
JMAN_14142262,2023-01-20,100,14,0.0,0.0,0.0,0.0,0,0,0,0.0,24,14
JMAN_9275311,2023-01-06,0,0,0.0,0.0,0.0,0.0,1,4,0,10.0,0,0
JMAN_9003648,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,7,0,4.0,9,4
JMAN_476335,2023-02-17,0,0,0.0,0.0,0.0,0.0,1,11,1,0.0,0,168
JMAN_11126390,2023-02-17,0,0,0.0,0.0,0.0,0.0,0,9,1,1.0,0,295
JMAN_9043466,2023-02-24,100,14,0.0,0.0,0.0,0.0,0,0,0,20.0,0,104
JMAN_2328487,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,7,0,4.0,0,2
JMAN_18354320,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_9004984,2023-01-27,0,0,0.0,0.0,0.0,0.0,0,8,0,3.0,0,1
JMAN_10967092,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,0,0,17.0,0,1
JMAN_9999715,2023-02-24,0,0,0.0,0.0,0.0,0.0,1,0,0,16.0,0,252
JMAN_2458864,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,0,0,13.0,0,72
JMAN_12791979,2023-01-13,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0,7
JMAN_9008035,2023-02-24,100,43,0.0,0.0,0.0,0.0,0,0,0,14.0,0,76
JMAN_9008035,2023-01-27,100,43,0.0,0.0,0.0,0.0,0,0,0,13.0,0,525
JMAN_9203571,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,0
JMAN_14450264,2023-03-24,100,25,0.0,0.0,0.0,0.0,0,0,0,0.0,4,4
JMAN_9669396,2023-02-03,100,17,0.0,0.0,0.0,0.0,0,10,0,11.0,0,46
JMAN_12472512,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_9003424,2023-02-17,0,0,0.0,0.0,0.0,0.0,0,0,0,20.0,36,153
JMAN_9023808,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,5,0,2.0,0,238
JMAN_9327351,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,12,0,11.0,0,50
JMAN_18410807,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_2437417,2023-03-17,0,0,-100.0,-100.0,0.0,0.0,0,0,0,21.0,12,182
JMAN_9021938,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,0,0,21.0,0,4
JMAN_2458020,2023-03-17,100,100,0.0,0.0,0.0,0.0,1,0,0,21.0,0,72
JMAN_13993883,2023-01-06,0,0,100.0,100.0,10.0,10.0,0,0,0,0.0,11,125
JMAN_9071046,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,2,0,1.0,0,89
JMAN_9026440,2023-02-17,100,100,0.0,0.0,0.0,0.0,0,0,0,14.0,0,0
JMAN_2463960,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,5,0,1.0,0,0
JMAN_10364413,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,9
JMAN_2449317,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,2,0,1.0,0,0
JMAN_2473478,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,0,0,21.0,0,71
JMAN_2439200,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,18,1,1.0,0,0
JMAN_2452274,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,5,0,3.0,0,0
JMAN_18391348,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_2476016,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,88
JMAN_2453701,2023-03-10,0,0,0.0,0.0,0.0,0.0,0,0,0,21.0,25,17
JMAN_11265556,2023-03-10,0,0,0.0,100.0,0.0,10.0,0,6,0,12.0,0,17
JMAN_2468805,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,14,0,1.0,0,2
JMAN_11200796,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,14,0,1.0,0,31
JMAN_11118444,2023-01-27,100,25,0.0,0.0,0.0,0.0,0,8,0,10.0,0,222
JMAN_9023120,2023-03-10,100,33,0.0,0.0,0.0,0.0,0,8,0,6.0,0,4
JMAN_9383192,2023-03-10,0,0,0.0,0.0,0.0,0.0,0,8,0,6.0,0,3
JMAN_9803968,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,9,0,8.0,0,5
JMAN_9031290,2023-01-13,100,29,0.0,0.0,0.0,0.0,0,6,0,4.0,0,0
JMAN_9029087,2023-03-10,0,0,0.0,0.0,0.0,0.0,0,10,0,12.0,0,0
JMAN_2473827,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,7,0,4.0,0,3
JMAN_9086153,2023-02-10,50,50,0.0,0.0,0.0,0.0,0,10,0,11.0,0,66
JMAN_9003408,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,8,0,12.0,0,0
JMAN_9014366,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,11,0,6.0,0,15
JMAN_2448264,2023-02-24,0,0,0.0,0.0,0.0,0.0,0,12,0,11.0,0,8
JMAN_9026918,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,8,0,4.0,0,0
JMAN_2463786,2023-01-27,0,0,0.0,0.0,0.0,0.0,0,8,0,3.0,0,0
JMAN_2461549,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,0,0,19.0,0,97
JMAN_2465336,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,0,0,20.0,0,0
JMAN_12472512,2023-02-10,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,3
JMAN_2469170,2023-03-17,100,50,0.0,0.0,0.0,0.0,0,0,0,21.0,0,0
JMAN_9037476,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,10,0,5.0,0,0
JMAN_2464850,2023-03-10,0,0,0.0,0.0,0.0,0.0,0,0,0,15.0,0,0
JMAN_2457464,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,0,0,15.0,0,151
JMAN_2447281,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,10,0,5.0,0,0
JMAN_2457464,2023-01-27,0,0,0.0,0.0,0.0,0.0,0,0,0,13.0,0,111
