id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_2429072,2023-02-10,1,0,0,0,0,1,0,0,0,13,1,0,2,0,"Retail, Wholesale & Distribution",100 - 249,0,100,33,0.0,0.0,0.0,0.0,0,0,0,20.0,72,58,2976.0,2976.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,2.0,0.5,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_9043466,2023-01-13,0,1,1,0,0,1,0,0,0,16,1,0,4,0,"Retail, Wholesale & Distribution",250 - 499,0,100,17,0.0,0.0,0.0,0.0,0,0,0,19.0,0,68,20724.72,21474.84,499.56,250.56,0.0,499.56,0.0,1,1,1,100,100,0,9.0,0.111111111,9.0,9.0,0,1,1.0,1.0,0,0
JMAN_2452556,2023-02-24,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Unknown,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,15,1,0.0,0,0,605.76,817.8,181.92,30.12,0.0,0.0,0.0,1,1,1,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2455113,2023-03-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Unknown,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,7,0,4.0,0,9,300.0,300.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_18127937,2023-02-10,0,1,0,0,0,1,0,0,0,17,0,0,1,0,Unknown,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,2100.0,420.0,-1680.0,0.0,-1680.0,0.0,0.0,1,1,0,100,100,0,5.0,0.0,0.0,5.0,0,0,0.0,0.0,0,0
JMAN_2373631,2023-03-03,0,1,0,0,0,0,0,0,1,17,0,0,4,0,Corporate Services,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,8.0,0,0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2447279,2023-03-03,1,0,0,0,0,0,0,0,1,17,0,0,2,0,"Retail, Wholesale & Distribution",50 - 99,0,0,0,0.0,0.0,0.0,0.0,0,10,0,6.0,0,0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9004478,2023-01-20,1,0,0,0,0,0,1,0,0,17,1,0,4,0,"Retail, Wholesale & Distribution",50 - 99,0,0,0,0.0,0.0,0.0,0.0,0,6,0,10.0,0,39,4182.0,4182.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,5.0,0.4,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_2477864,2023-03-24,1,0,0,0,0,0,1,0,0,17,0,0,2,0,"Retail, Wholesale & Distribution",50 - 99,0,0,0,0.0,0.0,0.0,0.0,0,8,0,12.0,0,34,648.0,792.0,144.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,6.0,0.166666667,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_2445629,2023-01-20,0,1,0,0,0,0,0,0,1,16,1,0,1,0,Technology,Unknown,0,100,33,0.0,0.0,0.0,0.0,0,8,0,10.0,0,27,14952.0,14952.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,14.0,0.153846154,13.0,14.0,0,1,0.928571429,0.928571429,0,0
JMAN_9034877,2023-03-17,0,1,0,0,0,0,1,0,0,17,0,0,3,0,Technology,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,6,0,12.0,0,16,1788.0,1788.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_14450264,2023-03-17,0,1,0,0,0,0,0,0,1,6,1,0,1,0,Technology,Unknown,0,100,25,0.0,0.0,0.0,0.0,0,0,0,0.0,6,6,3792.0,4272.0,480.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,4.0,0.0,1.0,4.0,0,1,0.25,0.25,0,0
JMAN_18839586,2023-02-10,0,1,0,0,0,1,0,0,0,17,0,0,1,0,Transportation,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,336.0,336.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,2.0,0.0,0.0,2.0,0,0,0.0,0.0,0,0
JMAN_12250851,2023-03-03,0,1,0,0,0,1,0,0,0,4,0,0,1,0,Financial Services,Unknown,0,0,0,100.0,100.0,10.0,10.0,0,0,0,0.0,0,196,242.04,251.52,0.0,9.48,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_9601250,2023-01-13,0,1,0,0,0,0,0,0,1,13,0,0,5,0,Manufacturing & Resources,Unknown,0,0,0,0.0,0.0,0.0,0.0,0,6,1,1.0,0,0,1632.0,1632.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,4.0,0.0,3.0,4.0,0,0,0.75,0.75,0,0
JMAN_9016831,2023-01-27,1,0,0,0,0,0,1,0,0,16,1,0,3,0,Technology,100 - 249,0,0,0,0.0,0.0,0.0,0.0,0,6,0,10.0,0,1,4500.0,4500.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_18411228,2023-01-06,1,0,0,0,0,1,0,0,0,16,0,0,1,0,Consumer Services,50 - 99,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0
JMAN_10361494,2023-03-24,0,1,0,0,0,1,0,0,0,9,0,0,1,1,"Retail, Wholesale & Distribution",Unknown,0,0,0,0.0,0.0,0.0,0.0,0,10,0,1.0,0,0,228.0,1668.0,-228.0,0.0,0.0,-228.0,0.0,1,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
